PO#,Date,Vendor,Description,Job,Due,Received,B/O,Ship to,Comments
21145,5/14/2025,191,"PKG- HILTI KWIK BOLT TZ2 WEDGE ANCHOR, STAINLESS STEEL 316, 5"" long -3/8""",2,"Friday, May 16, 2025",,,Shop Delivery,Paul Nasij PO's
21146,5/15/2025,114,"Basketball Ct. Reversed coping subframe: Qtyx2 @25' - 4x6x0.25"" L-angle, Qtyx3 @20' - 1.5x1.5 -0.25"" tube",2,,,,Shop Delivery,Paul Nasij PO's
21147,5/21/2025,79,"1/4 - 14 X 1 "" #2 HEX WASHER HD PT BI-FLEX - H141000 , qty x 1,200 pcs",20,"Thursday, May 22, 2025",,,Shop Delivery,Paul Nasij PO's
21148,5/22/2025,4,"GCP Ultra foil face 9"" wide",2,"Tuesday, May 27, 2025",,,Shop Delivery,Paul Nasij PO's
21149,5/27/2025,15,Balcony GL03 qtyx16 - Door GL05 qtyx8,20,"Tuesday, September 02, 2025",,,Shop Delivery,Paul Nasij PO's
21150,5/29/2025,79,"Tamper resistant fastener for Duress box , bag of x20pcs",2,"Friday, May 30, 2025",,,Shop Delivery,Paul Nasij PO's
21151,5/29/2025,360,Horton Interior Sliding door- glass- Qty x8 pcs,2,"Tuesday, June 10, 2025",,,Shop Delivery,Paul Nasij PO's
21152,5/29/2025,79,"4""x6""x57"" L shape SS flashing, 25ga, qty x8",2,"Monday, June 02, 2025",,,Shop Delivery,Paul Nasij PO's
21153,6/9/2025,79,"1/2""-13 Hex Nut, 1/2 split lock washer, 1/2 (1-3/8) flat washer, qty x1000 each",20,"Tuesday, June 10, 2025",,,Shop Delivery,Paul Nasij PO's
21154,6/10/2025,321,"Re-painting reversed basketball coping panels and Stair#1, Total qty x6 pcs",2,"Friday, June 27, 2025",,,Will Call,Paul Nasij PO's
21155,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21156,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21157,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21158,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21159,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21160,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21161,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21162,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21163,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21164,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21165,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21166,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21167,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21168,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21169,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21170,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21171,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21172,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21173,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21174,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21175,6/10/2025,419, ,19,,,,,Paul Nasij PO's
21176,1/17/2025,3,Base Shoe and Top Channel Cap Extrusions,60,,,,Shop Delivery,Greg Sievers PO's
21177,1/17/2025,176,"Interior 1/4"" Lites",35,,,,Jobsite,Greg Sievers PO's
21178,1/17/2025,79,NB Curtain Wall Hardware - Bolt sets,35,,,,Shop Delivery,Greg Sievers PO's
21179,1/20/2025,279,Ice Box Panels,60,,,,Shop Delivery,Greg Sievers PO's
21180,1/20/2025,215,Aluminum Panels with Studs - Painting,35,,,,Will Call,Greg Sievers PO's
21181,1/23/2025,114,(5) Extrusions,60,,,,Shop Delivery,Greg Sievers PO's
21182,1/25/2025,176,Ice Box Glass,60,,,,Shop Delivery,Greg Sievers PO's
21183,1/25/2025,173,Base Sill Pans,35,,,,Will Call,Greg Sievers PO's
21184,1/25/2025,173,Formed Panels for Returns,35,,,,Will Call,Greg Sievers PO's
21185,1/25/2025,279,Feature and Mirror SSTL material for First in Place,60,,,,Shop Delivery,Greg Sievers PO's
21186,1/25/2025,173,Head Clips for Feature Wall and Full Height Wall,60,,,,Will Call,Greg Sievers PO's
21187,1/25/2025,100,(31) Base Shoe; (80) Blocks ; (310) Hilti Anchors,60,,,,Shop Delivery,Greg Sievers PO's
21188,1/25/2025,16,(1) Sample Bracket,78,,,,Shop Delivery,Greg Sievers PO's
21189,1/25/2025,276,SSF Wellness Door Package,59,,,,Jobsite,Greg Sievers PO's
21190,1/29/2025,79,(46) Bolt Set Ups,60,,,,Shop Delivery,Greg Sievers PO's
21191,1/30/2025,424,(2) Pass Through Windows,60,,,,Shop Delivery,Greg Sievers PO's
21192,1/30/2025,16,(90) Trellis Clips - Hot Dipped Galvanized,35,,,,Shop Delivery,Greg Sievers PO's
21193,1/30/2025,16,(50) STL-01,60,,,,Shop Delivery,Greg Sievers PO's
21194,2/3/2025,279,Mock Up Panels,60,,,,Shop Delivery,Greg Sievers PO's
21195,2/3/2025,16,(18) SSTL #4 - Coping Caps for South Building CW,35,,,,Shop Delivery,Greg Sievers PO's
21196,2/5/2025,215,Painting - Ice Box Tubes,60,,,,Will Call,Greg Sievers PO's
21197,2/5/2025,215,Painting - NB Sill Plans,35,,,,Shop Delivery,Greg Sievers PO's
21198,2/6/2025,424,(2) Pass Through Windows (Duplicate to 21191-GS),60,,,,Shop Delivery,Greg Sievers PO's
21199,2/7/2025,25,"(10) Pemko 369DP 120"" - For Full Height Glass Wall",60,,,,Shop Delivery,Greg Sievers PO's
21200,2/7/2025,16,"(8) pcs HDG 1/4"" Formed Steel Plates - Canopy Steel",35,,,,Shop Delivery,Greg Sievers PO's
21201,2/7/2025,100,(62) SSTL Standoffs - For Trellis,35,,,,Shop Delivery,Greg Sievers PO's
21202,2/11/2025,16,"(750) ""L"" Angle Clips - For Trellis",35,,,,Shop Delivery,Greg Sievers PO's
21203,2/11/2025,114,Aluminum Tubes,60,,,,Shop Delivery,Greg Sievers PO's
21204,2/14/2025,16,SSTL Formed Angle - For Blue Panel Wall,60,,,,Shop Delivery,Greg Sievers PO's
21205,2/14/2025,114,(15) Extrusions,60,,,,Shop Delivery,Greg Sievers PO's
21206,2/14/2025,423,Water Jet Cutting - (6) Panels,60,,,,Will Call,Greg Sievers PO's
21207,2/18/2025,150,Extrusions - 1x5 For Trellis (Stanford GSE) and SFO ITB (Anodized Channels),60,,,,Shop Delivery,Greg Sievers PO's
21208,2/18/2025,114,Extrusions for Ice Box,60,,,,Shop Delivery,Greg Sievers PO's
21209,2/20/2025,215,Head CLip and U Channels - Paint - Black,60,,,,Will Call,Greg Sievers PO's
21210,2/20/2025,79,Trellis Stand Off Hardware,35,,,,Shop Delivery,Greg Sievers PO's
21211,2/20/2025,130,Joint Sealant and DOW123,59,,,,Shop Delivery,Greg Sievers PO's
21212,2/26/2025,16,Aluminum Panel Package - North Building,35,,,,Shop Delivery,Greg Sievers PO's
21213,2/26/2025,370,Booking PO for Lumber to be sent to JBI,59,,,,Jobsite,Greg Sievers PO's
21214,2/26/2025,191,HIT-HY270 ; Dispenser Guns ; Batteries,60,,,,Shop Delivery,Greg Sievers PO's
21215,2/28/2025,16,Gutter and Vertical Steel Clips,35,,,,Shop Delivery,Greg Sievers PO's
21216,2/28/2025,100,Aluminum Shims,60,,,,Will Call,Greg Sievers PO's
21217,2/28/2025,277,Tooling and Samples for Fin Extrusions,78,,,,Office Delivery,Greg Sievers PO's
21218,3/7/2025,423,Water Jet Cutting,60,,,,Will Call,Greg Sievers PO's
21219,3/10/2025,16,SSTL #4 Surround for First in Place,60,,,,Shop Delivery,Greg Sievers PO's
21220,3/11/2025,191,"KH-EZ 3/8"" x 3.5"" HUS",60,,,,Shop Delivery,Greg Sievers PO's
21221,3/12/2025,79,Soffit Track,60,,,,Shop Delivery,Greg Sievers PO's
21222,3/14/2025,326,(1) Fire Lite,35,,,,Shop Delivery,Greg Sievers PO's
21223,3/19/2025,215,Painting,35,,,,Will Call,Greg Sievers PO's
21224,3/19/2025,419,VOID - Changed to PO# 21243-GS,19,,,,,Greg Sievers PO's
21225,3/19/2025,18,Auto Operators and Install,78,,,,Jobsite,Greg Sievers PO's
21226,3/24/2025,426,"240"" SSTL Bar",60,,,,Shop Delivery,Greg Sievers PO's
21227,3/24/2025,16,(8) SSTL trim pcs for CDC Pass Through Windows,60,,,,Shop Delivery,Greg Sievers PO's
21228,3/25/2025,321,Painting of 3 panels at Mock Up,59,,,,Jobsite,Greg Sievers PO's
21229,3/26/2025,79,4 Custom Sill Pans,35,,,,Shop Delivery,Greg Sievers PO's
21230,3/26/2025,215,Paint Order for Stanford GSE,35,,,,Will Call,Greg Sievers PO's
21231,3/27/2025,240,2 pcs of standard Bronze Mull it Over Covers,35,"Friday, June 13, 2025",,,Shop Delivery,Greg Sievers PO's
21232,3/27/2025,16,(26) .080 Formed Panels - Painted,35,,,,Shop Delivery,Greg Sievers PO's
21233,3/28/2025,49,Added Calcs for signs on Feature Wall,60,,,,Testing,Greg Sievers PO's
21234,3/28/2025,430,"(13) Sheets - Classic Bronze - 62"" x 196""",35,,,,Shop Delivery,Greg Sievers PO's
21235,3/31/2025,210,Subgirts for Main Project,59,,,,,Greg Sievers PO's
21236,4/1/2025,426,"240"" SSTL Bar - Balance remaining from PO#21226-GS",60,,,,Shop Delivery,Greg Sievers PO's
21237,4/1/2025,130,Joint Sealants and 123,59,,,,Shop Delivery,Greg Sievers PO's
21238,4/1/2025,86,Waterproofing Material,59,,,,Will Call,Greg Sievers PO's
21239,4/1/2025,79,Trellis Hardware,35,,,,Shop Delivery,Greg Sievers PO's
21240,4/7/2024,279,(1) Perforated Fin and (4) Samples,78,,,,Shop Delivery,Greg Sievers PO's
21241,4/21/2025,279,(3) SSTL Panels for Ice Box - Remakes,60,,,,Shop Delivery,Greg Sievers PO's
21242,4/24/2025,215,1 piece - Painted - Trellis Purlin,35,,,,Shop Delivery,Greg Sievers PO's
21243,4/24/2025,16,2 Brackets - SSTL,78,,,,Shop Delivery,Greg Sievers PO's
21244,4/25/2025,215,6 cans of Spray Paint for Ice Box,60,,,,Office Delivery,Greg Sievers PO's
21245,4/25/2025,431,Doors and Hardware = Total of 14,78,"Monday, November 03, 2025",,,Shop Delivery,Greg Sievers PO's
21246,4/26/2025,104,Tooling and Samples of Custom Silicone for Feature Wall,60,,,,Shop Delivery,Greg Sievers PO's
21247,4/26/2025,49,Calc Revisions,78,,,,Testing,Greg Sievers PO's
21248,4/26/2025,419, ,19,,,,,Greg Sievers PO's
21249,4/26/2025,419, ,19,,,,,Greg Sievers PO's
21250,4/26/2025,419, ,19,,,,,Greg Sievers PO's
21251,4/26/2025,419, ,19,,,,,Greg Sievers PO's
21252,4/26/2025,419, ,19,,,,,Greg Sievers PO's
21253,4/26/2025,419, ,19,,,,,Greg Sievers PO's
21254,4/26/2025,419, ,19,,,,,Greg Sievers PO's
21255,4/26/2025,419, ,19,,,,,Greg Sievers PO's
21256,1/22/2024,4,2 pallets of water,63,"Thursday, January 23, 2025",,,Shop Delivery,Dan/Shop PO's
21257,1/22/2025,130,"7/8"" & 3/8"" soft rod",63,"Friday, January 24, 2025",,,Shop Delivery,Dan/Shop PO's
21258,1/22/2025,79,2 boxes of drill flex,2,"Thursday, January 23, 2025",,,Shop Delivery,Dan/Shop PO's
21259,1/22/2025,96,5 boxes of red tape,63,"Friday, January 24, 2025",,,Shop Delivery,Dan/Shop PO's
21260,1/24/2025,130,"10 boxes 3/8 rod 2 boxes 1/4"" rod",63,"Tuesday, January 28, 2025",,,Shop Delivery,Dan/Shop PO's
21261,1/24/2025,79,2 boxes drill flex,7,"Monday, January 27, 2025",,,Shop Delivery,Dan/Shop PO's
21262,1/28/2025,130,3 set ups 983,63,"Wednesday, January 29, 2025",,,Shop Delivery,Dan/Shop PO's
21263,1/28/2025,100,20 rolls of glazing tape,27,"Thursday, January 30, 2025",,,Shop Delivery,Dan/Shop PO's
21264,1/31/2025,130,6 boxes 758,2,"Monday, February 03, 2025",,,Shop Delivery,Dan/Shop PO's
21265,2/5/2025,79,QTY 5000 #10 SS SMS screws 2 cases disposable gloves,63,"Thursday, February 06, 2025",,,Shop Delivery,Dan/Shop PO's
21266,2/5/2025,304,"3 boxes 3"" insulation tape 3 boxes insulation washers",63,"Thursday, February 06, 2025",,,Shop Delivery,Dan/Shop PO's
21267,2/5/2025,130,1 pallet 795 black,63,"Friday, February 07, 2025",,,Shop Delivery,Dan/Shop PO's
21268,2/6/2025,100,Shim stock order,63,"Monday, February 10, 2025",,,Shop Delivery,Dan/Shop PO's
21269,2/6/2025,79,3 boxes drill flex,2,"Monday, February 10, 2025",,,Shop Delivery,Dan/Shop PO's
21270,2/10/2025,79,"#12 PH/SMS/SS 2 1/2""",27,"Monday, February 10, 2025",,,Will Call,Dan/Shop PO's
21271,2/13/2025,235,weld on cup pins,63,"Monday, March 10, 2025",,,Shop Delivery,Dan/Shop PO's
21272,2/13/2025,130,"3 boxes 7/8"" soft rod",3,"Friday, February 14, 2025",,,Shop Delivery,Dan/Shop PO's
21273,2/14/2025,4,3 boxes VPS 30,35,"Wednesday, February 19, 2025",,,Shop Delivery,Dan/Shop PO's
21274,2/14/2025,79,qty2000 #10 flathead,63,"Monday, February 17, 2025",,,Shop Delivery,Dan/Shop PO's
21275,2/14/2025,191,"QTTY 700 3/8 X 2 1/8"" HUS EZ bolts",60,"Monday, February 24, 2025",,,Shop Delivery,Dan/Shop PO's
21276,2/18/2025,130,10 boxs of 795 Bronze,2,"Friday, February 21, 2025",,,Shop Delivery,Dan/Shop PO's
21277,2/18/2025,79,2 boxes drill flex 12-14x1.5,2,"Thursday, February 20, 2025",,,Shop Delivery,Dan/Shop PO's
21278,1/19/2025,130,1 pallet 795 black,3,"Thursday, February 20, 2025",,,Shop Delivery,Dan/Shop PO's
21279,2/21/2025,96,6 boxes red tape,63,"Tuesday, February 25, 2025",,,Will Call,Dan/Shop PO's
21280,2/21/2025,130,6 boxes 758,3,"Tuesday, February 25, 2025",,,Shop Delivery,Dan/Shop PO's
21281,2/25/2025,79,Qty 60 hitch pins,63,"Thursday, February 27, 2025",,,Shop Delivery,Dan/Shop PO's
21282,2/25/2025,79,"QTY 10,000 1/4-20 SS nuts",63,"Thursday, February 27, 2025",,,Shop Delivery,Dan/Shop PO's
21283,2/26/2025,130,QTY 3 black 983 set ups,63,"Friday, February 28, 2025",,,Shop Delivery,Dan/Shop PO's
21284,2/26/2025,130,3 boxes 795 Lome stone,27,"Thursday, February 27, 2025",,,Shop Delivery,Dan/Shop PO's
21285,2/26/2025,4,4 pails pour rock / 3 boxes 795 limestone,27,"Friday, February 28, 2025",,,Shop Delivery,Dan/Shop PO's
21286,2/26/2025,4,2 pallets of water,63,"Thursday, February 27, 2025",,,Shop Delivery,Dan/Shop PO's
21287,2/28/2025,388,vacum pump repair parts,26,"Monday, March 03, 2025",,,Shop Delivery,Dan/Shop PO's
21288,3/2/2025,79,"QTY 2000 5/16-18 X 3'4"" BOLTS",63,"Tuesday, March 04, 2025",,,Shop Delivery,Dan/Shop PO's
21289,3/3/2025,434,custom counter bore drill bit,60,"Tuesday, March 11, 2025",,,Will Call,Dan/Shop PO's
21290,3/4/2025,130,1 pallet 795 black,3,"Wednesday, March 05, 2025",,,Shop Delivery,Dan/Shop PO's
21291,3/6/2025,100,Panel shim stock order 10 rolls glazing tape,63,"Monday, March 10, 2025",,,Shop Delivery,Dan/Shop PO's
21292,3/7/2025,130,primmer C & 1200 & soft rod,63,"Monday, March 10, 2025",,,Shop Delivery,Dan/Shop PO's
21293,3/10/2025,79,5000 bypass clips,63,"Friday, March 28, 2025",,,Shop Delivery,Dan/Shop PO's
21294,3/10/2025,79,"2 boxes drill flex 1/4-14/2""",63,"Tuesday, March 11, 2025",,,Shop Delivery,Dan/Shop PO's
21295,3/10/2025,130,1 pallet 795 black,3,"Tuesday, March 11, 2025",,,Shop Delivery,Dan/Shop PO's
21296,3/11/2025,79,"#8 Pan head 3/4"" long #12 flathead 3"" long",35,"Thursday, March 13, 2025",,,Shop Delivery,Dan/Shop PO's
21297,3/13/2025,79,4 boxes of flathead tapcond,35,"Thursday, March 13, 2025",,,Shop Delivery,Dan/Shop PO's
21298,3/13/2025,235,2 replacment ground clamps for insulation welder,63,"Monday, March 17, 2025",,,Shop Delivery,Dan/Shop PO's
21299,3/15/2025,79,8 boxes drill flex to replace what was sent out to site,3,"Tuesday, March 18, 2025",,,Shop Delivery,Dan/Shop PO's
21300,3/17/2025,79,QTTY 40 hitch pins,63,"Tuesday, March 18, 2025",,,Shop Delivery,Dan/Shop PO's
21301,3/20/2025,114,"2 50X120"" 1/8"" almn. sheets",3,"Thursday, March 20, 2025",,,Will Call,Dan/Shop PO's
21302,3/20/2025,250,"1/4-20 studs 3/4"" long",27,"Monday, March 31, 2025",,,Shop Delivery,Dan/Shop PO's
21303,3/20/2025,304,,63,"Thursday, March 21, 2024",,,Shop Delivery,Dan/Shop PO's
21304,3/20/2025,79,2 boxes drill flex & nut setters,63,"Monday, March 24, 2025",,,Shop Delivery,Dan/Shop PO's
21305,3/20/2025,79,Steel Washers,63,"Friday, March 28, 2025",,,Shop Delivery,Dan/Shop PO's
21306,3/21/2025,130,1 pallet 795 Black and soft rod,63,"Monday, March 24, 2025",,,Shop Delivery,Dan/Shop PO's
21307,3/21/2025,96,"6 boxes of 2"" red tape",63,"Monday, March 24, 2025",,,Shop Delivery,Dan/Shop PO's
21308,3/25/2024,125,10 coils and 1 box of buckles,63,"Monday, March 31, 2025",,,Shop Delivery,Dan/Shop PO's
21309,3/25/2025,130,6 boxes 758,7,"Wednesday, March 26, 2025",,,Shop Delivery,Dan/Shop PO's
21310,3/25/2025,130,8 set ups 983 1 pallet 795 black,63,"Thursday, March 26, 2026",,,Shop Delivery,Dan/Shop PO's
